"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Matt Grace","Nationals",".338","1.73","23.1%","48.7%","28.2%","0.0%","25.0%","28","5.40","245","459","704","40.3%","35.9%","23.9%","10.7%","50.9%","38.4%","11449"
"John Gant","Cardinals",".275","1.72","26.9%","46.3%","26.9%","19.1%","8.5%","50","6.78","407","700","1107","38.3%","36.0%","25.7%","18.3%","46.3%","35.4%","13684"
"Brad Keller","Royals",".282","1.72","20.9%","50.0%","29.1%","7.5%","10.2%","70","3.81","1029","1682","2711","41.1%","32.7%","26.2%","15.2%","48.2%","36.6%","15734"
"Kohl Stewart","Twins",".282","1.72","23.6%","48.3%","28.1%","4.0%","20.0%","18","6.39","144","240","384","42.2%","30.0%","27.8%","15.6%","45.6%","38.9%","15502"
"Pedro Strop","Cubs",".276","1.72","16.3%","52.9%","30.8%","3.1%","18.8%","13","2.81","277","460","737","41.4%","38.5%","20.2%","13.5%","52.9%","33.7%","4070"
"Matt Albers","Brewers",".280","1.71","19.9%","50.6%","29.5%","12.2%","16.3%","34","5.13","396","609","1005","43.8%","35.5%","20.7%","21.3%","46.8%","32.0%","4300"
"Wandy Peralta","- - -",".261","1.71","19.5%","50.8%","29.7%","0.0%","31.4%","9","2.04","253","404","657","48.4%","28.7%","23.0%","14.8%","50.8%","34.4%","14295"
"Jonathan Hernandez","Rangers",".256","1.71","17.4%","52.2%","30.4%","7.1%","21.4%","13","7.02","150","182","332","50.0%","39.1%","10.9%","21.7%","47.8%","30.4%","17464"
"Patrick Sandoval","Angels",".287","1.71","26.2%","46.6%","27.2%","0.0%","21.4%","17","3.89","286","428","714","36.5%","37.4%","26.2%","8.4%","45.8%","45.8%","19447"
"Peter Lambert","Rockies",".333","1.71","25.1%","47.3%","27.6%","5.7%","20.7%","59","5.94","610","972","1582","42.7%","32.1%","25.2%","18.4%","42.1%","39.6%","17969"
"Andrew Suarez","Giants",".317","1.71","22.2%","49.1%","28.7%","12.9%","22.6%","12","3.31","196","344","540","40.7%","30.6%","28.7%","13.9%","45.4%","40.7%","18300"
"Matt Andriese","Diamondbacks",".332","1.71","20.3%","50.3%","29.4%","12.1%","13.8%","41","5.22","423","781","1204","37.5%","37.0%","25.5%","16.0%","45.0%","39.0%","12022"
"Jeremy Jeffress","Brewers",".322","1.70","23.2%","48.4%","28.4%","6.8%","11.4%","23","3.98","305","572","877","31.9%","44.0%","24.2%","21.0%","44.6%","34.4%","9490"
"Craig Stammen","Padres",".284","1.70","19.4%","50.8%","29.8%","4.1%","17.6%","38","4.17","443","808","1251","41.0%","37.0%","22.1%","17.7%","50.2%","32.1%","7274"
"David Hale","Yankees",".298","1.70","20.6%","50.0%","29.4%","24.3%","5.4%","36","8.60","213","389","602","44.4%","27.8%","27.8%","27.8%","45.2%","27.0%","9756"
"Adam Wainwright","Cardinals",".319","1.70","22.5%","48.8%","28.7%","6.1%","15.0%","104","5.45","1080","1796","2876","44.8%","33.5%","21.7%","14.4%","43.5%","42.1%","2233"
"Ryan Weber","Red Sox",".316","1.70","22.9%","48.6%","28.6%","15.0%","12.5%","16","3.54","227","447","674","46.8%","29.1%","24.1%","24.1%","47.5%","28.4%","10160"
"Jeurys Familia","Mets",".346","1.69","19.0%","50.9%","30.1%","6.1%","14.3%","39","5.85","411","630","1041","45.8%","35.5%","18.7%","15.7%","48.8%","35.5%","5114"
"Fernando Romero","Twins",".425","1.69","16.7%","52.4%","31.0%","15.4%","15.4%","3","1.93","114","164","278","26.2%","45.2%","28.6%","21.4%","38.1%","40.5%","15885"
"German Marquez","Rockies",".304","1.69","22.0%","49.0%","29.0%","4.2%","20.1%","124","6.41","868","1748","2616","33.4%","37.4%","29.3%","13.2%","48.8%","37.9%","15038"
"Derek Law","Blue Jays",".317","1.69","20.3%","50.0%","29.7%","9.8%","15.7%","18","2.67","478","716","1194","43.4%","33.7%","22.9%","22.3%","38.9%","38.9%","13133"
"T.J. Zeuch","Blue Jays",".303","1.68","25.0%","47.1%","27.9%","5.3%","10.5%","9","3.57","167","237","404","41.2%","36.8%","22.1%","13.2%","42.7%","44.1%","19269"
"Kyle Dowdy","Rangers",".314","1.68","30.1%","43.8%","26.0%","10.5%","21.1%","21","8.46","183","255","438","37.8%","32.4%","29.7%","13.5%","44.6%","41.9%","19285"
"Aaron Nola","Phillies",".295","1.68","20.8%","49.7%","29.5%","5.8%","17.4%","125","5.56","1163","2169","3332","44.2%","35.7%","20.1%","15.8%","42.3%","41.9%","16149"
"Stefan Crichton","Diamondbacks",".260","1.68","16.3%","52.5%","31.3%","4.0%","12.0%","13","3.86","165","302","467","38.8%","30.0%","31.3%","21.3%","30.0%","48.8%","16058"
"Oliver Drake","Rays",".225","1.68","16.4%","52.3%","31.3%","10.0%","22.5%","32","5.14","324","617","941","46.5%","31.0%","22.5%","14.0%","46.5%","39.5%","8823"
"Wade Miley","Astros",".287","1.67","20.5%","49.7%","29.8%","6.6%","15.2%","111","5.97","1167","1801","2968","42.3%","37.2%","20.5%","17.4%","46.8%","35.9%","8779"
"Fernando Salas","Phillies",".636","1.67","33.3%","41.7%","25.0%","33.3%","33.3%","0","0.00","22","39","61","0.0%","58.3%","41.7%","8.3%","41.7%","50.0%","4971"
"Brooks Pounders","Mets",".320","1.67","36.0%","40.0%","24.0%","33.3%","16.7%","2","2.45","54","81","135","50.0%","26.9%","23.1%","23.1%","50.0%","26.9%","10387"
"Roman Quinn","Phillies",".467","1.67","46.7%","33.3%","20.0%","0.0%","0.0%","1","2.70","31","33","64","60.0%","20.0%","20.0%","13.3%","33.3%","53.3%","13546"
"Victor Alcantara","Tigers",".278","1.67","14.3%","53.6%","32.1%","13.3%","17.8%","14","2.95","238","449","687","49.7%","29.1%","21.3%","18.4%","44.0%","37.6%","15028"
"Hunter Harvey","Orioles",".200","1.67","27.3%","45.5%","27.3%","0.0%","33.3%","3","4.26","48","89","137","27.3%","45.5%","27.3%","9.1%","54.6%","36.4%","15507"
"Sean Poppen","Twins",".429","1.67","27.3%","45.5%","27.3%","0.0%","16.7%","0","0.00","55","79","134","22.7%","40.9%","36.4%","0.0%","81.8%","18.2%","19583"
"Joel Kuhnel","Reds",".259","1.67","14.3%","53.6%","32.1%","11.1%","11.1%","8","7.45","63","103","166","46.4%","25.0%","28.6%","17.9%","46.4%","35.7%","19995"
"Huascar Ynoa","Braves",".455","1.67","33.3%","41.7%","25.0%","0.0%","33.3%","0","0.00","26","40","66","41.7%","25.0%","33.3%","16.7%","25.0%","58.3%","20468"
"Chris Martin","- - -",".314","1.66","19.9%","50.0%","30.1%","4.5%","20.5%","23","3.72","255","610","865","33.6%","40.4%","26.0%","17.8%","41.8%","40.4%","11847"
"Martin Perez","Twins",".316","1.64","22.8%","48.0%","29.3%","10.5%","15.0%","141","7.68","976","1796","2772","42.1%","32.9%","25.0%","17.3%","47.6%","35.2%","6902"
"Ross Stripling","Dodgers",".299","1.64","19.1%","50.2%","30.7%","13.0%","14.3%","47","4.67","495","950","1445","40.0%","37.7%","22.4%","16.5%","47.5%","36.1%","13273"
"Luis Avilan","Mets",".315","1.63","24.5%","46.8%","28.7%","7.4%","18.5%","24","6.75","252","348","600","51.1%","34.0%","14.9%","19.2%","52.1%","28.7%","2882"
"Dustin May","Dodgers",".316","1.63","28.3%","44.4%","27.3%","11.1%","7.4%","17","4.41","193","373","566","29.0%","47.0%","24.0%","20.0%","44.0%","36.0%","19716"
"Sonny Gray","Reds",".255","1.63","17.9%","50.8%","31.3%","9.9%","13.0%","110","5.65","1134","1775","2909","42.3%","33.6%","24.1%","16.6%","45.3%","38.1%","12768"
"Joe Smith","Astros",".254","1.62","20.3%","49.3%","30.4%","19.0%","9.5%","16","5.76","105","239","344","33.3%","37.7%","29.0%","21.7%","31.9%","46.4%","3281"
"Taylor Rogers","Twins",".307","1.62","18.1%","50.6%","31.3%","5.8%","15.4%","20","2.61","329","736","1065","33.9%","36.8%","29.2%","19.3%","49.1%","31.6%","13449"
"Cy Sneed","Astros",".350","1.61","25.4%","46.0%","28.6%","16.7%","27.8%","6","2.53","110","234","344","38.5%","38.5%","23.1%","13.9%","41.5%","44.6%","16106"
"Jose Alvarado","Rays",".346","1.61","22.1%","48.1%","29.9%","0.0%","8.7%","11","3.30","246","340","586","33.8%","38.8%","27.5%","17.5%","47.5%","35.0%","17780"
"Wes Parsons","- - -",".277","1.61","24.7%","46.4%","28.9%","3.6%","21.4%","13","3.38","263","374","637","38.0%","40.0%","22.0%","19.0%","48.0%","33.0%","14764"
"Charlie Morton","Rays",".298","1.60","21.7%","48.2%","30.1%","11.1%","10.4%","112","5.18","1065","2074","3139","39.1%","33.7%","27.2%","16.4%","49.7%","33.9%","4676"
"Michael Wacha","Cardinals",".313","1.60","22.1%","48.0%","29.9%","5.9%","22.0%","74","5.26","827","1372","2199","48.3%","27.5%","24.3%","14.5%","46.0%","39.5%","14078"
"Miles Mikolas","Cardinals",".302","1.60","23.1%","47.4%","29.6%","6.0%","16.1%","78","3.82","963","1904","2867","37.0%","37.3%","25.7%","16.2%","42.7%","41.2%","9803"
"Pedro Payano","Rangers",".343","1.60","24.6%","46.4%","29.0%","5.0%","15.0%","10","4.09","172","245","417","41.4%","35.7%","22.9%","17.1%","41.4%","41.4%","18313"
"Bryan Shaw","Rockies",".275","1.58","20.3%","48.8%","30.9%","4.5%","17.9%","44","5.50","474","714","1188","32.9%","42.5%","24.7%","13.2%","51.1%","35.6%","8110"
"Scott Oberg","Rockies",".248","1.58","20.1%","48.9%","30.9%","7.0%","11.6%","32","5.14","317","581","898","39.4%","33.1%","27.5%","20.4%","47.9%","31.7%","13911"
"Jairo Diaz","Rockies",".318","1.58","19.4%","49.4%","31.3%","10.0%","14.0%","23","3.59","310","578","888","41.6%","32.3%","26.1%","17.4%","46.0%","36.7%","12774"
"Austin Adams","- - -",".286","1.58","18.3%","50.0%","31.7%","10.5%","21.1%","23","6.47","205","336","541","43.3%","30.0%","26.7%","13.3%","45.0%","41.7%","13801"
"Jesse Biddle","- - -",".389","1.57","25.0%","45.8%","29.2%","3.6%","17.9%","16","5.14","261","356","617","48.0%","35.0%","17.0%","11.0%","41.0%","48.0%","11437"
"Bryan Garcia","Tigers",".400","1.57","14.3%","52.4%","33.3%","0.0%","14.3%","0","0.00","46","83","129","42.9%","19.1%","38.1%","4.8%","61.9%","33.3%","19457"
"Jefry Rodriguez","Indians",".299","1.57","20.3%","48.6%","31.1%","4.3%","10.9%","18","3.47","303","481","784","40.9%","36.9%","22.2%","16.8%","43.6%","39.6%","17018"
"Jacob Barnes","- - -",".293","1.56","22.6%","47.2%","30.2%","6.3%","21.9%","23","6.34","279","382","661","44.3%","33.0%","22.6%","17.9%","42.5%","39.6%","12323"
"Brent Suter","Brewers",".188","1.56","14.6%","52.1%","33.3%","12.5%","6.3%","11","5.40","72","161","233","40.8%","22.5%","36.7%","16.3%","49.0%","34.7%","13942"
"Geoff Hartlieb","Pirates",".411","1.56","23.7%","46.5%","29.8%","2.9%","23.5%","22","5.66","241","410","651","43.5%","31.3%","25.2%","13.0%","46.1%","40.9%","19558"
"Rich Hill","Dodgers",".275","1.56","18.4%","49.6%","31.9%","13.3%","22.2%","32","4.91","302","664","966","45.3%","29.1%","25.7%","17.6%","45.3%","37.2%","4806"
"Rookie Davis","Pirates",".300","1.56","25.8%","45.2%","29.0%","0.0%","33.3%","11","9.28","75","117","192","45.5%","39.4%","15.2%","15.2%","48.5%","36.4%","14962"
"Shane Carle","Braves",".286","1.56","25.8%","45.2%","29.0%","22.2%","33.3%","6","5.79","74","113","187","51.6%","25.8%","22.6%","25.8%","35.5%","38.7%","15258"
"Alec Mills","Cubs",".299","1.55","19.6%","48.9%","31.5%","10.3%","17.2%","12","3.00","197","356","553","43.5%","31.5%","25.0%","16.3%","40.2%","43.5%","13834"
"Brock Burke","Rangers",".276","1.55","17.8%","50.0%","32.2%","13.8%","20.7%","14","4.73","181","295","476","47.3%","30.1%","22.6%","20.4%","48.4%","31.2%","17968"
"Aaron Sanchez","- - -",".320","1.55","22.7%","46.9%","30.3%","10.5%","16.1%","84","5.76","887","1418","2305","38.5%","37.8%","23.7%","17.3%","42.9%","39.8%","11490"
"Kolby Allard","Rangers",".325","1.55","25.8%","45.0%","29.1%","20.5%","6.8%","28","5.56","302","535","837","42.5%","31.4%","26.1%","16.3%","46.4%","37.3%","18694"
"Alex Cobb","Orioles",".293","1.53","24.0%","46.0%","30.0%","6.7%","60.0%","4","2.92","81","148","229","44.0%","48.0%","8.0%","16.0%","38.0%","46.0%","6562"
"Pablo Lopez","Marlins",".299","1.52","21.2%","47.6%","31.2%","12.6%","14.6%","58","4.69","641","1155","1796","39.9%","31.9%","28.3%","17.6%","45.8%","36.6%","17085"
"Jandel Gustave","Giants",".227","1.52","28.4%","43.2%","28.4%","9.5%","4.8%","7","2.59","115","234","349","35.5%","39.5%","25.0%","7.9%","50.0%","42.1%","14665"
"Ivan Nova","White Sox",".322","1.52","23.6%","46.1%","30.3%","10.0%","15.8%","97","4.67","1091","1914","3005","45.4%","33.9%","20.8%","17.3%","49.6%","33.1%","1994"
"Patrick Corbin","Nationals",".290","1.52","17.9%","49.5%","32.6%","4.8%","14.4%","122","5.44","1241","2058","3299","37.2%","36.5%","26.3%","16.6%","48.9%","34.5%","9323"
"Matt Barnes","Red Sox",".339","1.51","22.0%","47.0%","31.1%","7.3%","19.5%","32","4.48","506","804","1310","37.3%","32.1%","30.6%","15.7%","53.7%","30.6%","12863"
"Ross Detwiler","White Sox",".301","1.51","13.6%","51.9%","34.5%","6.2%","24.7%","38","4.91","429","728","1157","54.0%","30.1%","15.9%","14.2%","49.4%","36.4%","2859"
"Edinson Volquez","Rangers",".340","1.50","24.5%","45.3%","30.2%","6.3%","18.8%","11","6.19","115","182","297","32.1%","43.4%","24.5%","3.8%","49.1%","47.2%","3990"
"Nate Jones","White Sox",".296","1.50","13.8%","51.7%","34.5%","0.0%","20.0%","2","1.74","90","116","206","34.5%","51.7%","13.8%","10.3%","51.7%","37.9%","4696"
"Alex Avila","Diamondbacks",".333","1.50","16.7%","50.0%","33.3%","0.0%","0.0%","2","9.00","11","14","25","33.3%","33.3%","33.3%","33.3%","50.0%","16.7%","7476"
"Mark Reynolds","Rockies",".400","1.50","0.0%","60.0%","40.0%","0.0%","0.0%","0","0.00","11","10","21","20.0%","60.0%","20.0%","0.0%","100.0%","0.0%","7619"
"Robbie Erlin","Padres",".373","1.50","25.4%","44.8%","29.8%","9.3%","11.1%","29","4.72","350","609","959","44.3%","33.9%","21.9%","18.0%","38.3%","43.7%","10354"
"Archie Bradley","Diamondbacks",".337","1.50","24.7%","45.2%","30.1%","10.7%","8.9%","13","1.63","464","820","1284","38.6%","29.1%","32.3%","14.8%","42.9%","42.3%","12918"
"Kevin Plawecki","Indians",".000","1.50","16.7%","50.0%","33.3%","0.0%","0.0%","2","9.00","4","15","19","33.3%","50.0%","16.7%","16.7%","50.0%","33.3%","13807"
"Tyler Mahle","Reds",".307","1.50","21.7%","47.0%","31.3%","6.7%","20.8%","60","4.16","750","1461","2211","37.5%","37.0%","25.6%","14.5%","49.4%","36.2%","16358"
"Richard Urena","Blue Jays",".500","1.50","28.6%","42.9%","28.6%","0.0%","50.0%","0","0.00","13","15","28","57.1%","28.6%","14.3%","28.6%","57.1%","14.3%","16411"
"Dennis Santana","Dodgers",".357","1.50","33.3%","40.0%","26.7%","0.0%","25.0%","2","3.60","42","62","104","53.3%","26.7%","20.0%","6.7%","60.0%","33.3%","17878"
"Dylan Moore","Mariners",".625","1.50","37.5%","37.5%","25.0%","0.0%","0.0%","0","0.00","15","20","35","62.5%","25.0%","12.5%","12.5%","50.0%","37.5%","18042"
"Michael Brosseau","Rays",".250","1.50","11.8%","52.9%","35.3%","0.0%","16.7%","1","2.25","21","39","60","64.7%","17.7%","17.7%","17.7%","41.2%","41.2%","19683"
"Spencer Turnbull","Tigers",".333","1.50","19.5%","48.3%","32.3%","5.0%","10.1%","50","3.03","1030","1631","2661","37.9%","34.0%","28.1%","13.3%","45.3%","41.4%","16207"
"Noah Syndergaard","Mets",".313","1.49","19.8%","48.0%","32.1%","11.7%","13.3%","120","5.46","1002","2093","3095","40.6%","34.0%","25.4%","21.5%","49.6%","28.9%","11762"
"Eduardo Rodriguez","Red Sox",".317","1.49","19.0%","48.5%","32.5%","7.2%","13.3%","178","7.88","1307","2188","3495","36.7%","37.8%","25.5%","22.7%","48.6%","28.7%","13164"
"Jalen Beeks","Rays",".328","1.49","23.8%","45.6%","30.6%","9.2%","12.2%","46","3.97","682","1139","1821","44.0%","32.6%","23.4%","15.4%","44.9%","39.7%","17192"
"Tyler Glasnow","Rays",".265","1.49","15.8%","50.4%","33.8%","8.5%","8.5%","42","6.23","317","586","903","38.9%","34.5%","26.6%","22.3%","48.9%","28.8%","14374"
"Francisco Liriano","Pirates",".271","1.48","15.9%","50.3%","33.8%","15.2%","12.1%","37","4.76","432","701","1133","42.5%","35.0%","22.5%","24.5%","45.0%","30.5%","3201"
"Hector Rondon","Astros",".263","1.48","16.3%","50.0%","33.7%","1.6%","16.1%","44","6.53","370","624","994","33.5%","38.4%","28.1%","22.2%","45.4%","32.4%","2391"
"Luis Cessa","Yankees",".277","1.48","18.4%","48.7%","32.9%","9.1%","18.2%","43","4.78","501","851","1352","43.6%","32.5%","23.9%","14.5%","50.4%","35.0%","13345"
"Chasen Bradford","Mariners",".229","1.47","13.0%","51.9%","35.2%","21.1%","31.6%","2","1.08","86","162","248","51.9%","24.1%","24.1%","24.1%","42.6%","33.3%","12452"
"Yoan Lopez","Diamondbacks",".233","1.47","26.5%","43.8%","29.7%","10.9%","20.0%","30","4.45","317","548","865","38.5%","40.6%","20.9%","10.7%","39.0%","50.3%","17181"
"Andrew Chafin","Diamondbacks",".351","1.46","27.8%","42.9%","29.3%","20.5%","15.4%","33","5.64","317","578","895","28.5%","44.5%","27.0%","16.8%","45.3%","38.0%","12988"
"Sean Newcomb","Braves",".282","1.46","17.5%","49.0%","33.5%","9.2%","12.3%","49","6.45","441","740","1181","33.7%","38.3%","28.1%","14.8%","49.5%","35.7%","16943"
"Ariel Jurado","Rangers",".318","1.46","22.2%","46.1%","31.6%","8.4%","16.0%","85","6.25","739","1308","2047","42.4%","35.7%","21.9%","14.3%","39.8%","46.0%","17030"
"Steve Cishek","Cubs",".246","1.46","15.7%","50.0%","34.3%","10.2%","11.9%","34","4.78","424","685","1109","37.4%","39.7%","23.0%","25.3%","47.7%","27.0%","6483"
"Phil Maton","- - -",".284","1.46","24.6%","44.7%","30.7%","8.6%","20.0%","23","5.65","204","404","608","44.0%","28.5%","27.6%","12.9%","52.6%","34.5%","18064"
"Clayton Kershaw","Dodgers",".262","1.46","19.0%","48.0%","33.0%","16.6%","18.5%","142","7.17","878","1794","2672","49.2%","30.9%","19.9%","20.3%","37.7%","42.0%","2036"
"Ian Gibaut","- - -",".306","1.45","27.0%","43.2%","29.7%","0.0%","9.1%","6","3.77","108","161","269","51.4%","32.4%","16.2%","5.4%","46.0%","48.7%","17871"
"Corbin Burnes","Brewers",".414","1.45","23.9%","45.1%","31.0%","18.2%","38.6%","31","5.69","321","582","903","40.0%","40.0%","20.0%","19.3%","38.6%","42.1%","19361"
"Masahiro Tanaka","Yankees",".293","1.45","19.7%","47.5%","32.8%","11.9%","15.1%","116","5.74","912","1875","2787","47.9%","30.1%","22.0%","16.4%","44.5%","39.1%","15764"
"Brian Flynn","Royals",".379","1.44","28.3%","42.4%","29.3%","7.4%","7.4%","17","5.22","207","306","513","36.1%","40.2%","23.7%","15.5%","41.2%","43.3%","12027"
"Peter Fairbanks","- - -",".357","1.44","26.7%","43.3%","30.0%","5.6%","27.8%","9","3.86","139","248","387","44.3%","31.2%","24.6%","18.0%","29.5%","52.5%","17998"
"Miguel Castro","Orioles",".269","1.44","17.4%","48.8%","33.8%","14.3%","14.3%","24","2.95","488","744","1232","38.7%","43.0%","18.4%","24.2%","45.9%","30.0%","15684"
"Luis Garcia","Angels",".282","1.44","20.0%","47.2%","32.8%","8.5%","22.0%","46","6.68","421","632","1053","36.1%","38.8%","25.1%","19.1%","41.5%","39.3%","6984"
"Nick Margevicius","Padres",".326","1.44","25.4%","44.0%","30.6%","8.5%","20.3%","25","3.95","357","601","958","43.7%","29.7%","26.6%","16.1%","46.7%","37.2%","20395"
"Jose Quintana","Cubs",".326","1.44","24.6%","44.5%","31.0%","7.9%","12.1%","120","6.32","1063","1763","2826","37.3%","37.7%","25.0%","16.5%","45.2%","38.2%","11423"
"Buck Farmer","Tigers",".303","1.43","19.8%","47.3%","33.0%","10.0%","13.3%","35","4.66","442","715","1157","40.9%","37.6%","21.5%","15.6%","43.6%","40.9%","14814"
"Cole Hamels","Cubs",".315","1.43","19.8%","47.3%","33.0%","9.8%","12.9%","81","5.15","874","1520","2394","42.3%","36.2%","21.5%","13.5%","50.1%","36.4%","4972"
"Matt Harvey","Angels",".275","1.43","27.3%","42.8%","29.9%","6.9%","22.4%","35","5.28","393","606","999","45.6%","33.3%","21.0%","9.2%","48.2%","42.6%","11713"
"Garrett Richards","Padres",".364","1.43","26.1%","43.5%","30.4%","14.3%","28.6%","4","4.15","61","96","157","50.0%","41.7%","8.3%","16.7%","33.3%","50.0%","9784"
"Cam Bedrosian","Angels",".253","1.43","19.0%","47.6%","33.3%","7.1%","12.5%","40","5.87","386","635","1021","36.1%","34.3%","29.6%","16.0%","43.2%","40.8%","13360"
"James Hoyt","Indians",".222","1.43","15.0%","50.0%","35.0%","14.3%","28.6%","0","0.00","44","79","123","35.0%","30.0%","35.0%","20.0%","30.0%","50.0%","14605"
"Steven Matz","Mets",".301","1.43","19.8%","47.1%","33.0%","6.5%","17.4%","84","4.72","963","1739","2702","38.0%","35.1%","26.9%","17.1%","46.4%","36.5%","13361"
"Gregory Soto","Tigers",".344","1.42","18.8%","47.7%","33.5%","6.1%","13.6%","15","2.34","422","688","1110","31.3%","38.9%","29.8%","17.2%","37.9%","45.0%","19677"
"Cory Gearrin","- - -",".313","1.42","23.6%","44.8%","31.5%","1.9%","9.6%","31","5.04","350","573","923","41.2%","33.9%","24.9%","18.8%","47.3%","33.9%","7947"
"Sam Coonrod","Giants",".222","1.42","14.9%","50.0%","35.1%","23.1%","11.5%","27","8.78","180","274","454","33.3%","37.3%","29.3%","22.7%","49.3%","28.0%","17264"
"Darwinzon Hernandez","Red Sox",".433","1.42","23.3%","45.0%","31.7%","5.3%","5.3%","14","4.15","283","398","681","36.1%","36.1%","27.9%","23.0%","44.3%","32.8%","19848"
"Joe Ross","Nationals",".345","1.42","24.2%","44.4%","31.3%","14.5%","11.3%","42","5.91","443","695","1138","38.8%","36.8%","24.4%","20.9%","47.3%","31.8%","12972"
"Andrew Cashner","- - -",".280","1.42","17.3%","48.5%","34.2%","5.7%","12.0%","115","6.90","981","1530","2511","36.1%","36.7%","27.3%","14.2%","48.3%","37.6%","8782"
"Kyle Freeland","Rockies",".308","1.42","20.6%","46.6%","32.9%","7.8%","21.7%","68","5.87","641","1139","1780","46.5%","34.8%","18.7%","15.6%","43.9%","40.5%","16256"
"Aroldis Chapman","Yankees",".289","1.42","28.1%","42.1%","29.8%","16.7%","8.3%","8","1.26","350","639","989","42.3%","33.3%","24.4%","18.7%","47.2%","34.2%","10233"
"Gio Gonzalez","Brewers",".277","1.42","24.1%","44.5%","31.4%","10.4%","11.7%","29","2.99","625","876","1501","41.8%","38.7%","19.5%","14.3%","53.4%","32.3%","7448"
"Trevor Hildenberger","Twins",".459","1.41","34.9%","38.1%","27.0%","11.8%","11.8%","9","4.96","113","213","326","50.8%","30.2%","19.1%","15.9%","44.4%","39.7%","17002"
"Matt Shoemaker","Blue Jays",".183","1.41","12.2%","51.4%","36.5%","14.8%","11.1%","20","6.28","147","271","418","55.4%","20.3%","24.3%","16.2%","44.6%","39.2%","4776"
"Alex Wilson","Brewers",".375","1.40","31.4%","40.0%","28.6%","10.0%","30.0%","4","3.18","74","128","202","28.6%","40.0%","31.4%","20.0%","37.1%","42.9%","9239"
"Felix Hernandez","Mariners",".309","1.40","17.4%","48.1%","34.5%","8.6%","21.0%","41","5.15","449","767","1216","51.9%","35.0%","13.1%","13.9%","45.6%","40.5%","4772"
"D.J. Johnson","Rockies",".319","1.39","21.4%","45.7%","32.9%","8.7%","4.3%","15","5.40","182","307","489","40.0%","32.9%","27.1%","20.0%","44.3%","35.7%","12578"
"Brandon Woodruff","Brewers",".320","1.39","23.4%","44.6%","32.1%","5.0%","12.0%","91","6.73","652","1327","1979","34.3%","36.8%","28.9%","19.7%","43.8%","36.5%","16162"
"Mike Leake","- - -",".295","1.39","19.4%","46.8%","33.8%","8.4%","18.2%","122","5.57","949","2026","2975","42.5%","36.1%","21.5%","14.3%","44.6%","41.1%","10130"
"Kirby Yates","Padres",".325","1.38","17.4%","47.9%","34.7%","7.1%","4.8%","1","0.15","344","677","1021","42.6%","33.6%","23.8%","18.9%","38.5%","42.6%","9073"
"Alex Young","Diamondbacks",".249","1.38","16.9%","48.1%","35.0%","9.4%","16.5%","50","5.40","473","852","1325","49.4%","32.0%","18.6%","13.4%","44.5%","42.1%","18333"
"Michael Lorenzen","Reds",".269","1.38","23.3%","44.4%","32.3%","6.9%","12.5%","41","4.43","494","841","1335","37.3%","32.0%","30.7%","17.1%","50.0%","32.9%","14843"
"Ronald Bolanos","Padres",".264","1.38","30.9%","40.0%","29.1%","6.3%","18.8%","6","2.75","148","198","346","57.1%","17.9%","25.0%","10.7%","41.1%","48.2%","20041"
"Nick Pivetta","Phillies",".309","1.37","25.2%","43.3%","31.6%","9.0%","22.5%","44","4.23","602","1017","1619","38.8%","32.9%","28.4%","18.7%","41.5%","39.8%","15454"
"Nick Ramirez","Tigers",".286","1.37","20.1%","46.2%","33.8%","11.4%","13.9%","28","3.16","516","807","1323","43.7%","34.9%","21.4%","21.0%","37.8%","41.2%","12575"
"Jorge Lopez","Royals",".314","1.37","19.7%","46.4%","33.9%","3.8%","20.6%","71","5.17","774","1286","2060","39.3%","35.4%","25.3%","14.0%","46.8%","39.3%","14527"
"Zack Greinke","- - -",".271","1.36","21.7%","45.2%","33.1%","6.3%","10.9%","133","5.74","1081","2032","3113","38.2%","36.2%","25.6%","17.5%","46.4%","36.2%","1943"
"Ryan Eades","- - -",".290","1.36","21.2%","45.5%","33.3%","9.1%","18.2%","8","6.35","75","128","203","54.6%","33.3%","12.1%","18.2%","27.3%","54.6%","14808"
"Travis Lakins","Red Sox",".306","1.36","18.1%","47.2%","34.7%","4.0%","4.0%","7","2.70","162","233","395","39.7%","37.0%","23.3%","12.3%","52.1%","35.6%","18600"
"Dylan Cease","White Sox",".326","1.36","20.7%","45.7%","33.7%","14.3%","21.4%","35","4.32","543","821","1364","38.5%","36.1%","25.5%","17.8%","51.9%","30.3%","18525"
"Chi Chi Gonzalez","Rockies",".257","1.35","24.7%","43.3%","32.0%","12.9%","17.7%","17","2.43","457","688","1145","42.9%","33.3%","23.7%","17.2%","46.0%","36.9%","14663"
"Yu Darvish","Cubs",".266","1.35","20.9%","45.5%","33.6%","3.4%","22.8%","92","4.63","969","1879","2848","44.4%","33.3%","22.3%","14.5%","54.3%","31.3%","13074"
"Trevor Cahill","Angels",".283","1.35","20.2%","45.9%","33.9%","1.8%","22.5%","37","3.25","681","1107","1788","52.3%","30.7%","17.0%","16.1%","38.6%","45.3%","6249"
"Ryan Burr","White Sox",".255","1.35","17.5%","47.4%","35.1%","5.0%","15.0%","9","4.12","129","227","356","32.8%","32.8%","34.5%","12.1%","62.1%","25.9%","17536"
