"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Matthew Festa","Mariners","4.32","2.16","2.00","0.00","10.0%","5.0%","5.0%",".351","1.80",".394","87.5%","53","79","129","2.16","3.28","-1.12","5.46","5.12","19330"
"Kevin Shackelford","Reds","7.88","4.50","1.75","0.00","17.1%","9.8%","7.3%",".361","2.13",".448","55.6%","191","79","127","7.88","3.29","4.59","5.14","4.64","11012"
"Seunghwan Oh","- - -","10.40","2.24","4.65","1.05","28.8%","6.2%","22.6%",".206","1.01",".265","84.1%","60","77","93","2.63","3.29","-0.66","3.87","3.06","18719"
"Anthony Banda","Rays","6.14","1.84","3.33","0.61","17.9%","5.4%","12.5%",".226","1.02",".262","66.2%","89","81","94","3.68","3.30","0.38","3.99","4.06","14706"
"Diego Castillo","Rays","10.32","2.86","3.61","0.95","29.3%","8.1%","21.2%",".178","0.95",".229","73.5%","77","81","80","3.18","3.30","-0.13","3.38","3.15","17496"
"Brandon Woodruff","Brewers","9.99","2.98","3.36","0.85","26.7%","8.0%","18.8%",".225","1.18",".294","73.3%","89","80","83","3.61","3.30","0.31","3.36","3.26","16162"
"Robbie Erlin","Padres","7.27","0.99","7.33","0.99","20.1%","2.7%","17.3%",".262","1.14",".306","62.5%","108","82","84","4.21","3.31","0.90","3.41","3.52","10354"
"Taylor Cole","Angels","9.75","3.00","3.25","0.75","28.9%","8.9%","20.0%",".167","0.89",".218","77.9%","66","79","79","2.75","3.33","-0.58","3.35","3.11","11964"
"Daniel Ponce de Leon","Cardinals","8.45","3.55","2.38","0.55","23.5%","9.9%","13.6%",".203","1.12",".259","79.6%","70","84","107","2.73","3.34","-0.62","4.36","4.18","16110"
"Matt Shoemaker","Angels","9.58","2.90","3.30","0.87","25.4%","7.7%","17.7%",".244","1.26",".313","64.3%","118","79","86","4.94","3.35","1.58","3.64","3.76","4776"
"Matt Strahm","Padres","10.13","3.08","3.29","0.88","28.2%","8.6%","19.6%",".176","0.98",".226","86.1%","53","83","94","2.05","3.36","-1.30","3.84","3.36","13799"
"Tim Mayza","Blue Jays","10.09","3.53","2.86","0.76","26.5%","9.3%","17.2%",".244","1.32",".326","80.4%","77","78","94","3.28","3.36","-0.08","3.98","3.48","15042"
"Andrew Vasquez","Twins","12.60","3.60","3.50","0.00","26.9%","7.7%","19.2%",".238","1.40",".357","60.0%","125","79","95","5.40","3.36","2.04","4.02","2.89","19482"
"Victor Arano","Phillies","9.10","2.58","3.53","0.91","24.4%","6.9%","17.5%",".237","1.20",".296","83.3%","68","81","97","2.73","3.36","-0.63","3.94","3.48","15915"
"Mike Foltynewicz","Braves","9.93","3.34","2.97","0.84","27.2%","9.1%","18.0%",".194","1.08",".251","77.1%","70","84","93","2.85","3.37","-0.52","3.77","3.77","10811"
"David Hernandez","Reds","9.14","2.39","3.82","0.84","25.6%","6.7%","18.9%",".198","0.98",".248","80.5%","61","81","101","2.53","3.38","-0.85","4.12","3.41","4259"
"Mark Melancon","Giants","7.15","3.23","2.21","0.46","17.8%","8.1%","9.8%",".302","1.59",".365","74.8%","84","88","96","3.23","3.39","-0.16","3.91","3.93","4264"
"Matt Grace","Nationals","7.24","1.96","3.69","0.75","19.4%","5.3%","14.2%",".237","1.14",".279","76.2%","70","82","95","2.87","3.40","-0.53","3.88","3.66","11449"
"German Marquez","Rockies","10.56","2.62","4.04","1.10","28.2%","7.0%","21.2%",".238","1.20",".311","73.2%","81","79","76","3.77","3.40","0.36","3.10","3.31","15038"
"Rowan Wick","Padres","7.56","1.08","7.00","1.08","18.4%","2.6%","15.8%",".351","1.68",".414","63.5%","166","84","109","6.48","3.40","3.08","4.42","3.82","14646"
"Tanner Scott","Orioles","12.83","4.73","2.71","1.01","31.7%","11.7%","20.0%",".261","1.56",".380","67.5%","124","77","70","5.40","3.40","2.00","2.96","3.18","17586"
"Ross Stripling","Dodgers","10.03","1.62","6.18","1.33","27.0%","4.4%","22.7%",".256","1.19",".322","86.1%","79","85","73","3.02","3.42","-0.39","2.99","3.13","13273"
"Alex Claudio","Rangers","5.40","1.71","3.15","0.53","13.7%","4.4%","9.4%",".322","1.52",".366","71.0%","96","78","85","4.48","3.42","1.05","3.58","3.38","12890"
"Adam Cimber","- - -","7.64","2.24","3.41","0.66","20.4%","6.0%","14.4%",".261","1.24",".318","75.0%","84","82","85","3.42","3.42","0.00","3.51","3.27","15288"
"Pedro Strop","Cubs","8.60","3.17","2.71","0.60","23.8%","8.8%","15.0%",".178","0.99",".222","83.9%","56","84","100","2.26","3.43","-1.17","4.08","3.69","4070"
"Marco Gonzales","Mariners","7.83","1.73","4.53","0.92","21.1%","4.7%","16.5%",".265","1.22",".319","72.0%","97","83","85","4.00","3.43","0.56","3.59","3.81","15467"
"Alex Colome","- - -","9.53","2.78","3.43","0.93","25.5%","7.5%","18.1%",".229","1.18",".291","77.9%","74","83","81","3.04","3.44","-0.40","3.44","3.27","6661"
"Steve Cishek","Cubs","9.98","3.58","2.79","0.64","27.1%","9.7%","17.4%",".179","1.04",".238","84.0%","54","84","96","2.18","3.45","-1.27","3.91","3.44","6483"
"Jonny Venters","- - -","7.08","4.19","1.69","0.26","18.6%","11.0%","7.6%",".203","1.22",".250","67.3%","90","85","92","3.67","3.45","0.22","3.80","3.74","7175"
"Tyler Olson","Indians","13.17","3.95","3.33","1.32","33.9%","10.2%","23.7%",".245","1.39",".355","67.9%","111","81","70","4.94","3.45","1.49","2.94","2.84","14741"
"Darren O'Day","Orioles","12.15","1.80","6.75","1.35","32.5%","4.8%","27.7%",".237","1.10",".326","76.9%","83","78","83","3.60","3.46","0.14","3.49","2.55","3321"
"Jameson Taillon","Pirates","8.43","2.17","3.89","0.94","22.8%","5.9%","16.9%",".244","1.18",".298","79.8%","81","85","88","3.20","3.46","-0.26","3.58","3.77","11674"
"Clay Buchholz","Diamondbacks","7.41","2.01","3.68","0.82","20.6%","5.6%","15.0%",".217","1.04",".255","86.6%","50","86","99","2.01","3.47","-1.45","4.01","4.08","3543"
"Brad Peacock","Astros","13.29","2.77","4.80","1.52","35.3%","7.4%","27.9%",".225","1.17",".317","83.3%","84","83","67","3.46","3.47","-0.01","2.82","2.40","5401"
"Sam Dyson","Giants","7.17","2.56","2.80","0.64","20.5%","7.3%","13.2%",".224","1.08",".270","77.8%","70","90","89","2.69","3.47","-0.79","3.61","3.39","11710"
"Wander Suero","Nationals","8.87","2.83","3.13","0.76","23.5%","7.5%","16.0%",".238","1.22",".300","74.5%","87","84","106","3.59","3.48","0.11","4.33","3.69","15855"
"Scott Barlow","Royals","9.00","1.80","5.00","1.20","23.1%","4.6%","18.5%",".258","1.27",".311","74.1%","83","84","86","3.60","3.49","0.11","3.63","3.36","14993"
"Lance McCullers Jr.","Astros","9.96","3.51","2.84","0.84","26.9%","9.5%","17.5%",".213","1.17",".278","69.2%","93","84","81","3.86","3.50","0.36","3.43","3.62","14120"
"Yonny Chirinos","Rays","7.53","2.51","3.00","0.70","20.3%","6.8%","13.5%",".247","1.22",".298","71.0%","85","86","95","3.51","3.51","0.01","4.04","3.96","16401"
"Joshua James","Astros","11.35","2.74","4.14","1.17","31.9%","7.7%","24.2%",".183","0.96",".240","90.9%","57","84","82","2.35","3.51","-1.16","3.46","3.00","16794"
"Luis Garcia","Phillies","9.98","3.52","2.83","0.78","25.0%","8.8%","16.2%",".269","1.46",".354","61.2%","150","84","89","6.07","3.51","2.56","3.64","3.46","6984"
"Tim Hill","Royals","8.28","2.76","3.00","0.79","21.2%","7.1%","14.1%",".253","1.31",".309","60.3%","104","85","78","4.53","3.51","1.02","3.31","3.18","16814"
"Andrew Miller","Indians","11.91","4.24","2.81","0.79","29.2%","10.4%","18.8%",".233","1.38",".329","75.3%","95","83","87","4.24","3.51","0.72","3.68","3.29","6785"
"Mike Clevinger","Indians","9.32","3.02","3.09","0.95","25.6%","8.3%","17.3%",".222","1.16",".280","79.8%","68","83","91","3.02","3.52","-0.51","3.86","3.86","12808"
"Chris Martin","Rangers","7.99","1.08","7.40","1.08","20.9%","2.8%","18.1%",".272","1.22",".323","70.2%","97","80","86","4.54","3.52","1.01","3.63","3.37","11847"
"Jonathan Loaisiga","Yankees","12.04","4.38","2.75","1.09","30.6%","11.1%","19.4%",".271","1.54",".383","62.1%","120","82","70","5.11","3.53","1.58","2.95","3.44","19753"
"Alex Wood","Dodgers","8.01","2.37","3.38","0.83","21.2%","6.3%","14.9%",".243","1.21",".293","70.6%","96","88","92","3.68","3.53","0.15","3.72","3.90","13781"
"Carlos Martinez","Cardinals","8.87","4.55","1.95","0.38","22.5%","11.5%","10.9%",".222","1.35",".290","75.0%","80","89","109","3.11","3.53","-0.42","4.42","4.45","11682"
"Edubray Ramos","Phillies","8.86","3.16","2.80","0.84","24.1%","8.6%","15.5%",".215","1.15",".268","81.1%","57","85","108","2.32","3.54","-1.22","4.37","3.79","16086"
"Jesse Chavez","- - -","8.69","1.60","5.41","1.23","24.4%","4.5%","19.9%",".233","1.06",".278","88.2%","56","82","82","2.55","3.54","-0.99","3.41","3.15","5448"
"Shane Carle","Braves","6.14","3.86","1.59","0.29","16.6%","10.4%","6.2%",".216","1.22",".258","74.5%","70","88","108","2.86","3.54","-0.68","4.39","4.59","15258"
"Ryan Buchter","Athletics","9.38","3.43","2.73","0.92","25.2%","9.2%","16.0%",".216","1.19",".272","72.5%","67","86","107","2.75","3.54","-0.80","4.53","3.91","9456"
"Trevor Cahill","Athletics","8.18","3.35","2.44","0.65","22.2%","9.1%","13.1%",".223","1.19",".277","67.3%","91","86","90","3.76","3.54","0.22","3.80","4.06","6249"
"Brad Keller","Royals","6.16","3.21","1.92","0.45","16.5%","8.6%","7.9%",".250","1.30",".294","77.1%","71","86","101","3.08","3.55","-0.47","4.26","4.51","15734"
"Ryne Stanek","Rays","10.99","3.66","3.00","1.09","30.8%","10.3%","20.5%",".191","1.09",".253","80.9%","72","87","94","2.98","3.55","-0.57","3.98","3.49","15947"
"Luke Jackson","Braves","10.18","4.65","2.19","0.66","25.0%","11.4%","13.6%",".255","1.52",".339","70.2%","109","88","97","4.43","3.55","0.87","3.94","3.83","11752"
"Ariel Miranda","Mariners","9.00","7.20","1.25","0.00","20.8%","16.7%","4.2%",".300","2.00",".400","90.0%","44","86","115","1.80","3.56","-1.76","4.88","5.52","17526"
"Shohei Ohtani","Angels","10.97","3.83","2.86","1.05","29.9%","10.4%","19.4%",".202","1.16",".269","79.9%","79","84","83","3.31","3.57","-0.26","3.53","3.65","19755"
"Juan Minaya","White Sox","11.19","5.59","2.00","0.58","27.8%","13.9%","13.9%",".220","1.46",".310","77.8%","78","83","102","3.28","3.57","-0.29","4.33","3.98","10341"
"Scott Alexander","Dodgers","7.64","3.68","2.07","0.55","20.9%","10.1%","10.8%",".238","1.27",".296","72.1%","96","89","81","3.68","3.57","0.11","3.31","3.16","10591"
"Joe Kelly","Red Sox","9.32","4.39","2.13","0.55","23.9%","11.2%","12.6%",".230","1.36",".301","67.9%","98","85","95","4.39","3.57","0.81","4.04","3.92","9761"
"Edgar Santana","Pirates","7.33","1.63","4.50","0.95","19.9%","4.4%","15.5%",".238","1.10",".277","77.0%","82","88","97","3.26","3.58","-0.33","3.93","3.60","17355"
"Joe Musgrove","Pirates","7.80","1.79","4.35","0.94","20.6%","4.7%","15.8%",".248","1.18",".294","69.2%","103","88","96","4.06","3.59","0.47","3.92","3.93","12970"
"Charlie Morton","Astros","10.83","3.45","3.14","0.97","28.9%","9.2%","19.7%",".211","1.16",".283","79.6%","76","86","81","3.13","3.59","-0.47","3.42","3.52","4676"
"Paul Blackburn","Athletics","6.18","1.95","3.17","0.65","16.0%","5.0%","10.9%",".297","1.41",".344","47.1%","174","87","104","7.16","3.59","3.56","4.39","4.43","14739"
"Wade Miley","Brewers","5.58","3.01","1.85","0.33","14.8%","8.0%","6.8%",".232","1.21",".269","75.9%","63","88","106","2.57","3.59","-1.03","4.30","4.66","8779"
"Adam Conley","Marlins","8.88","3.20","2.78","0.89","24.8%","8.9%","15.8%",".202","1.09",".250","63.3%","106","91","94","4.09","3.60","0.49","3.84","3.61","14457"
"James Pazos","Mariners","8.10","2.70","3.00","0.72","21.3%","7.1%","14.2%",".246","1.24",".303","78.2%","70","87","98","2.88","3.60","-0.72","4.15","3.75","13323"
"Nathan Eovaldi","- - -","8.19","1.62","5.05","1.14","22.2%","4.4%","17.8%",".243","1.13",".287","67.3%","89","87","87","3.81","3.60","0.21","3.67","3.71","9132"
"Pat Neshek","Phillies","5.55","1.85","3.00","0.74","14.9%","5.0%","9.9%",".240","1.15",".266","75.4%","64","87","123","2.59","3.61","-1.02","4.99","4.51","4682"
"Aaron Loup","- - -","9.98","3.18","3.14","0.91","24.0%","7.7%","16.4%",".291","1.56",".376","71.2%","107","85","88","4.54","3.61","0.92","3.72","3.40","10343"
"Dominic Leone","Cardinals","9.75","3.00","3.25","1.13","24.5%","7.6%","17.0%",".276","1.46",".348","74.7%","116","91","93","4.50","3.62","0.88","3.78","3.57","13763"
"Anibal Sanchez","Braves","8.89","2.77","3.21","0.99","24.4%","7.6%","16.8%",".209","1.08",".255","79.4%","70","90","94","2.83","3.62","-0.79","3.81","3.85","3284"
"Stephen Strasburg","Nationals","10.80","2.63","4.11","1.25","28.7%","7.0%","21.7%",".237","1.20",".309","75.7%","91","87","81","3.74","3.62","0.12","3.28","3.33","10131"
"Josh Fields","Dodgers","7.24","2.41","3.00","0.88","21.4%","7.1%","14.3%",".196","0.95",".226","86.8%","57","91","114","2.20","3.62","-1.43","4.61","4.21","5070"
"Drew Steckenrider","Marlins","10.30","3.76","2.74","0.97","27.2%","9.9%","17.3%",".226","1.27",".296","74.1%","101","92","99","3.90","3.62","0.27","4.03","3.55","18806"
"Tommy Hunter","Phillies","7.17","2.11","3.40","0.84","18.9%","5.6%","13.3%",".258","1.25",".303","73.7%","94","87","99","3.80","3.63","0.17","4.01","3.69","1157"
"Tyler Skaggs","Angels","9.26","2.87","3.23","1.01","24.2%","7.5%","16.7%",".260","1.33",".328","73.5%","96","86","90","4.02","3.63","0.39","3.79","3.86","10190"
"T.J. McFarland","Diamondbacks","5.25","2.75","1.91","0.50","14.4%","7.5%","6.9%",".237","1.19",".268","84.6%","49","90","93","2.00","3.63","-1.63","3.78","3.54","3237"
"Justin Wilson","Cubs","11.36","5.43","2.09","0.82","29.2%","14.0%","15.3%",".222","1.43",".310","78.9%","86","89","100","3.46","3.64","-0.18","4.05","3.85","4301"
"Eduardo Rodriguez","Red Sox","10.13","3.12","3.24","1.11","26.4%","8.1%","18.3%",".236","1.26",".301","76.9%","86","87","92","3.82","3.65","0.17","3.90","3.74","13164"
"Wade Davis","Rockies","10.74","3.58","3.00","1.10","29.9%","10.0%","19.9%",".185","1.06",".238","66.9%","89","85","89","4.13","3.65","0.48","3.63","3.23","7441"
"Sam Freeman","Braves","10.37","5.72","1.81","0.54","26.9%","14.8%","12.0%",".225","1.45",".314","69.2%","105","91","94","4.29","3.66","0.63","3.83","4.07","6832"
"Drew Smith","Mets","5.79","1.93","3.00","0.64","15.0%","5.0%","10.0%",".304","1.43",".348","79.1%","93","92","121","3.54","3.66","-0.13","4.91","4.43","17755"
"Max Fried","Braves","11.76","5.35","2.20","0.80","31.0%","14.1%","16.9%",".217","1.37",".315","82.2%","72","91","80","2.94","3.67","-0.73","3.24","3.77","13743"
"Kyle Freeland","Rockies","7.70","3.11","2.47","0.76","20.5%","8.3%","12.2%",".237","1.25",".285","82.8%","62","85","104","2.85","3.67","-0.82","4.22","4.35","16256"
"Brad Brach","- - -","8.62","4.02","2.14","0.72","20.8%","9.7%","11.1%",".277","1.60",".344","73.4%","84","86","101","3.59","3.67","-0.08","4.22","4.09","6627"
"Austin Davis","Phillies","9.87","3.12","3.17","1.04","25.2%","8.0%","17.2%",".255","1.36",".326","66.8%","103","88","95","4.15","3.68","0.47","3.85","3.48","17117"
"Lou Trivino","Athletics","9.97","3.77","2.65","0.97","27.4%","10.4%","17.1%",".199","1.14",".256","82.9%","71","89","84","2.92","3.69","-0.77","3.53","3.46","15043"
"Yoshihisa Hirano","Diamondbacks","8.01","3.12","2.57","0.81","22.5%","8.8%","13.7%",".207","1.09",".250","79.3%","60","91","99","2.44","3.69","-1.25","4.01","3.76","19756"
"Dallas Keuchel","Astros","6.73","2.55","2.64","0.79","17.5%","6.6%","10.9%",".259","1.31",".300","72.8%","91","88","91","3.74","3.69","0.05","3.84","4.15","9434"
"Hunter Wood","Rays","9.22","3.95","2.33","0.88","23.5%","10.1%","13.4%",".261","1.46",".330","79.0%","91","91","93","3.73","3.70","0.03","3.92","3.98","15091"
"Zack Greinke","Diamondbacks","8.62","1.86","4.63","1.21","23.7%","5.1%","18.6%",".229","1.08",".272","80.2%","79","92","84","3.21","3.71","-0.50","3.44","3.60","1943"
"Archie Bradley","Diamondbacks","9.42","2.51","3.75","1.13","25.3%","6.8%","18.6%",".228","1.14",".282","76.3%","90","92","88","3.64","3.71","-0.06","3.57","3.22","12918"
"Shawn Kelley","- - -","9.18","2.02","4.55","1.29","26.3%","5.8%","20.5%",".185","0.90",".215","82.4%","71","90","101","2.94","3.71","-0.77","4.15","3.36","7773"
"Jacob Barnes","Brewers","8.69","4.25","2.04","0.74","21.7%","10.6%","11.1%",".263","1.52",".329","73.1%","82","91","98","3.33","3.72","-0.39","4.00","4.03","12323"
"Carson Smith","Red Sox","11.30","3.77","3.00","1.26","28.1%","9.4%","18.8%",".241","1.40",".316","81.4%","84","89","75","3.77","3.72","0.05","3.17","3.16","13172"
"Freddy Peralta","Brewers","11.03","4.60","2.40","0.92","29.9%","12.5%","17.5%",".177","1.14",".237","68.5%","104","91","107","4.25","3.72","0.53","4.33","3.99","18679"
"Sam Tuivailala","- - -","7.30","2.92","2.50","0.73","18.2%","7.3%","10.9%",".272","1.43",".322","78.7%","87","93","101","3.41","3.73","-0.32","4.10","3.97","13485"
"Bruce Rondon","White Sox","12.13","8.19","1.48","0.30","26.0%","17.5%","8.4%",".294","2.16",".424","55.0%","203","87","112","8.49","3.73","4.76","4.74","4.74","5766"
"Dereck Rodriguez","Giants","6.77","2.74","2.47","0.68","18.3%","7.4%","10.9%",".221","1.13",".257","76.3%","73","97","112","2.81","3.74","-0.92","4.56","4.58","14509"
"Jordan Hicks","Cardinals","8.11","5.21","1.56","0.23","20.7%","13.3%","7.4%",".206","1.34",".266","72.3%","92","94","105","3.59","3.74","-0.15","4.26","4.21","19618"
"Jake Diekman","- - -","11.14","5.23","2.13","0.68","27.2%","12.8%","14.4%",".238","1.50",".331","65.9%","108","88","99","4.73","3.74","0.98","4.13","3.83","5003"
"Luis Cessa","Yankees","7.86","2.62","3.00","1.01","20.0%","6.7%","13.3%",".280","1.43",".333","64.9%","123","87","91","5.24","3.74","1.50","3.84","3.91","13345"
"Adrian Houser","Brewers","5.27","4.61","1.14","0.00","13.6%","11.9%","1.7%",".255","1.46",".302","76.2%","81","91","143","3.29","3.75","-0.45","5.80","5.44","12718"
"Nick Vincent","Mariners","8.95","2.40","3.73","1.12","23.4%","6.3%","17.2%",".226","1.15",".272","68.7%","97","90","106","3.99","3.75","0.25","4.51","3.72","7555"
"Vince Velasquez","Phillies","9.88","3.62","2.73","0.98","25.6%","9.4%","16.2%",".245","1.34",".316","66.8%","120","90","101","4.85","3.75","1.09","4.12","4.00","11189"
"Chris Archer","- - -","9.83","2.97","3.31","1.15","25.4%","7.7%","17.7%",".266","1.38",".338","72.5%","106","92","86","4.31","3.75","0.55","3.59","3.73","6345"
"Arodys Vizcaino","Braves","9.39","3.52","2.67","0.94","25.3%","9.5%","15.8%",".213","1.17",".268","91.8%","52","93","104","2.11","3.76","-1.65","4.21","3.72","5498"
"Braden Shipley","Diamondbacks","5.40","3.60","1.50","0.00","14.3%","9.5%","4.8%",".222","1.20",".267","42.9%","178","93","133","7.20","3.76","3.44","5.41","4.88","15158"
"Kyle Hendricks","Cubs","7.28","1.99","3.66","0.99","19.8%","5.4%","14.4%",".242","1.15",".281","75.2%","86","93","95","3.44","3.78","-0.34","3.87","4.03","12049"
"Touki Toussaint","Braves","9.93","6.52","1.52","0.31","26.0%","17.1%","8.9%",".180","1.34",".254","70.7%","99","94","104","4.03","3.78","0.25","4.24","4.91","16929"
"Keynan Middleton","Angels","8.15","4.58","1.78","0.51","22.5%","12.7%","9.9%",".230","1.30",".295","88.5%","49","89","114","2.04","3.78","-1.75","4.82","4.46","15264"
"Adam Morgan","Phillies","9.12","4.01","2.27","0.91","23.4%","10.3%","13.1%",".255","1.44",".321","71.9%","95","91","94","3.83","3.79","0.04","3.81","3.77","12580"
"Corbin Burnes","Brewers","8.29","2.61","3.18","0.95","23.0%","7.2%","15.8%",".196","1.00",".232","84.8%","64","92","93","2.61","3.79","-1.19","3.77","3.49","19361"
"Caleb Ferguson","Dodgers","10.84","2.20","4.92","1.47","29.2%","5.9%","23.3%",".230","1.12",".292","79.1%","91","95","72","3.49","3.79","-0.30","2.95","2.82","19349"
"Nick Pivetta","Phillies","10.32","2.80","3.69","1.32","27.1%","7.4%","19.7%",".255","1.30",".326","69.0%","118","91","84","4.77","3.80","0.98","3.42","3.51","15454"
"Ryan Borucki","Blue Jays","6.17","3.04","2.03","0.65","16.1%","8.0%","8.2%",".253","1.32",".291","68.5%","91","89","109","3.87","3.80","0.07","4.62","4.80","16350"
"Zach Eflin","Phillies","8.65","2.60","3.32","1.13","22.5%","6.8%","15.7%",".256","1.30",".309","68.4%","108","91","99","4.36","3.80","0.56","4.02","4.02","13774"
"Drew Rucinski","Marlins","6.88","3.31","2.08","0.51","17.5%","8.4%","9.1%",".248","1.33",".296","62.2%","113","96","117","4.33","3.81","0.52","4.76","4.31","12499"
"Zack Godley","Diamondbacks","9.34","4.09","2.28","0.81","23.4%","10.2%","13.2%",".254","1.45",".324","67.5%","117","95","97","4.74","3.82","0.93","3.96","4.18","14862"
"Justin Anderson","Angels","10.90","6.51","1.68","0.49","27.8%","16.6%","11.2%",".213","1.48",".307","74.6%","98","91","101","4.07","3.83","0.24","4.29","4.33","16201"
"Greg Holland","- - -","9.13","6.22","1.47","0.39","22.2%","15.1%","7.1%",".240","1.62",".315","62.8%","119","95","120","4.66","3.83","0.83","4.87","4.79","7196"
"Ty Blach","Giants","5.69","3.11","1.83","0.61","14.7%","8.0%","6.6%",".283","1.47",".323","69.0%","110","100","103","4.25","3.84","0.41","4.18","4.45","14361"
"Drew VerHagen","Tigers","8.47","3.04","2.79","0.96","22.8%","8.2%","14.6%",".218","1.15",".263","65.4%","107","90","102","4.63","3.84","0.80","4.33","3.78","13424"
"Lance Lynn","- - -","9.25","4.37","2.12","0.80","23.0%","10.9%","12.1%",".264","1.53",".336","70.1%","111","90","94","4.77","3.84","0.93","3.98","4.26","2520"
"Chad Bell","Tigers","8.59","2.45","3.50","1.23","19.4%","5.6%","13.9%",".412","2.18",".500","61.6%","199","90","86","8.59","3.84","4.75","3.65","3.66","10297"
"Casey Sadler","Pirates","6.23","6.23","1.00","0.00","12.0%","12.0%","0.0%",".409","2.77",".474","41.7%","210","95","123","8.31","3.85","4.45","5.00","4.43","11209"
"Dakota Hudson","Cardinals","6.26","5.93","1.06","0.00","16.1%","15.3%","0.9%",".192","1.35",".238","76.3%","68","97","117","2.63","3.86","-1.22","4.76","5.01","19206"
"Jack Flaherty","Cardinals","10.85","3.52","3.08","1.19","29.6%","9.6%","20.0%",".198","1.11",".257","79.3%","86","97","88","3.34","3.86","-0.53","3.58","3.57","17479"
"Trevor Williams","Pirates","6.64","2.90","2.29","0.79","18.0%","7.9%","10.1%",".227","1.18",".261","76.6%","79","95","112","3.11","3.86","-0.75","4.54","4.68","16977"
"Ryan Dull","Athletics","7.46","2.49","3.00","1.07","21.0%","7.0%","14.0%",".237","1.14",".275","68.6%","103","94","101","4.26","3.87","0.39","4.29","3.95","13974"
"JT Chargois","Dodgers","11.13","4.18","2.67","1.11","29.6%","11.1%","18.5%",".220","1.27",".297","80.2%","87","97","73","3.34","3.87","-0.53","2.98","3.05","13767"
"Derek Holland","Giants","8.88","3.52","2.52","1.00","23.3%","9.2%","14.0%",".235","1.29",".288","76.1%","93","101","100","3.57","3.87","-0.30","4.07","4.20","4141"
"Pat Venditte","Dodgers","5.79","1.93","3.00","0.64","15.8%","5.3%","10.5%",".212","1.00",".238","82.2%","67","97","128","2.57","3.88","-1.30","5.19","4.38","7108"
"Jeanmar Gomez","White Sox","9.72","3.60","2.70","1.08","23.7%","8.8%","14.9%",".282","1.56",".356","69.8%","112","90","100","4.68","3.88","0.80","4.24","3.77","9033"
"Jesse Biddle","Braves","9.47","4.38","2.16","0.85","25.2%","11.7%","13.5%",".216","1.27",".277","76.7%","76","97","88","3.11","3.88","-0.77","3.57","3.66","11437"
"Amir Garrett","Reds","10.14","3.57","2.84","1.14","26.9%","9.5%","17.4%",".237","1.29",".306","74.2%","104","94","94","4.29","3.89","0.39","3.81","3.49","14375"
"Erik Goeddel","- - -","10.80","4.91","2.20","0.98","28.4%","12.9%","15.5%",".194","1.25",".256","84.5%","76","97","97","2.95","3.90","-0.95","3.97","3.76","11712"
"Frankie Montas","Athletics","5.95","2.91","2.05","0.69","15.2%","7.4%","7.8%",".285","1.46",".325","70.0%","94","94","109","3.88","3.90","-0.02","4.60","4.86","14309"
"Jose Berrios","Twins","9.45","2.85","3.31","1.17","25.4%","7.7%","17.7%",".220","1.14",".270","75.8%","89","92","92","3.84","3.90","-0.07","3.89","3.80","14168"
"Cody Reed","Reds","8.79","3.14","2.80","1.05","22.3%","8.0%","14.4%",".263","1.40",".323","74.6%","96","94","86","3.98","3.91","0.07","3.51","3.56","15232"
"Rob Whalen","Mariners","0.00","2.25","0.00","0.00","0.0%","7.1%","-7.1%",".077","0.50",".077","100.0%","0","94","131","0.00","3.91","-3.91","5.56","6.42","14165"
"Marcus Stroman","Blue Jays","6.77","3.17","2.14","0.79","17.2%","8.0%","9.1%",".280","1.48",".326","60.5%","130","91","91","5.54","3.91","1.63","3.84","4.04","13431"
"Yusmeiro Petit","Athletics","7.35","1.74","4.22","1.26","20.7%","4.9%","15.8%",".217","1.01",".241","81.8%","73","95","99","3.00","3.92","-0.92","4.20","3.77","4020"
"Kohl Stewart","Twins","5.89","4.42","1.33","0.25","15.1%","11.3%","3.8%",".246","1.42",".292","72.8%","85","92","115","3.68","3.92","-0.24","4.88","4.92","15502"
"Chad Sobotka","Braves","13.19","5.65","2.33","1.26","36.2%","15.5%","20.7%",".102","0.98",".115","98.2%","46","98","83","1.88","3.93","-2.04","3.38","3.36","17470"
"Taijuan Walker","Diamondbacks","6.23","3.46","1.80","0.69","16.1%","8.9%","7.1%",".294","1.54",".341","80.7%","86","98","110","3.46","3.93","-0.47","4.45","4.95","11836"
"Mike Montgomery","Cubs","6.24","2.83","2.21","0.73","16.1%","7.3%","8.8%",".268","1.37",".309","73.0%","99","97","105","3.99","3.94","0.06","4.29","4.44","4869"
"Adam Warren","- - -","9.06","3.48","2.60","1.05","23.3%","9.0%","14.4%",".239","1.32",".294","84.4%","75","93","102","3.14","3.94","-0.80","4.31","3.84","9029"
"Yoan Lopez","Diamondbacks","11.00","1.00","11.00","2.00","31.4%","2.9%","28.6%",".206","0.89",".238","96.2%","74","98","66","3.00","3.94","-0.94","2.70","2.27","17181"
"Robert Gsellman","Mets","7.88","3.15","2.50","0.90","20.3%","8.1%","12.2%",".244","1.30",".291","66.5%","113","99","104","4.28","3.95","0.33","4.22","3.92","13696"
