"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Rob Wooten","Brewers","5.86","2.60","2.25","0.33","15.7%","7.0%","8.7%",".255","1.27",".299","69.4%","101","81","113","3.90","3.19","0.71","4.25","3.97","8532"
"Tyson Ross","Padres","8.57","3.17","2.70","0.58","23.6%","8.7%","14.9%",".221","1.15",".282","71.5%","89","87","91","3.17","3.20","-0.03","3.43","3.33","7872"
"Tony Watson","Pirates","6.78","1.51","4.50","0.63","19.3%","4.3%","15.0%",".195","0.88",".227","80.7%","67","87","99","2.39","3.20","-0.82","3.72","3.26","3132"
"Stephen Strasburg","Nationals","9.39","2.75","3.41","0.79","26.1%","7.7%","18.5%",".205","1.05",".263","73.2%","80","86","84","3.00","3.21","-0.21","3.15","3.09","10131"
"Rafael Betancourt","Rockies","8.48","3.45","2.45","0.63","22.0%","8.9%","13.0%",".232","1.29",".289","64.3%","93","79","112","4.08","3.22","0.86","4.22","3.64","177"
"Junichi Tazawa","Red Sox","9.48","1.58","6.00","1.19","25.4%","4.2%","21.1%",".258","1.20",".321","82.4%","75","83","77","3.16","3.22","-0.06","3.03","2.64","4079"
"Zack Greinke","Dodgers","7.50","2.33","3.22","0.66","20.6%","6.4%","14.2%",".229","1.11",".276","80.8%","74","86","91","2.63","3.23","-0.59","3.45","3.60","1943"
"Bartolo Colon","Athletics","5.53","1.37","4.03","0.66","15.2%","3.8%","11.4%",".261","1.17",".294","80.0%","68","83","100","2.65","3.23","-0.58","3.95","4.10","375"
"AJ Ramos","Marlins","9.68","4.84","2.00","0.45","25.4%","12.7%","12.7%",".198","1.26",".266","72.9%","86","89","108","3.15","3.24","-0.09","4.07","3.62","8350"
"Hyun-Jin Ryu","Dodgers","7.22","2.30","3.14","0.70","19.7%","6.3%","13.4%",".248","1.20",".296","78.2%","84","87","92","3.00","3.24","-0.24","3.46","3.60","14444"
"Brian Duensing","Twins","8.26","3.25","2.55","0.59","20.9%","8.2%","12.7%",".279","1.48",".348","74.1%","99","82","94","3.98","3.24","0.74","3.71","3.49","4064"
"Keith Butler","Cardinals","7.20","4.95","1.45","0.00","18.8%","12.9%","5.9%",".178","1.20",".228","64.0%","110","87","145","4.05","3.25","0.80","5.43","4.81","10080"
"Josh Outman","Rockies","8.83","3.83","2.30","0.50","22.3%","9.7%","12.6%",".264","1.46",".340","70.7%","99","80","96","4.33","3.25","1.08","3.62","3.35","4004"
"Oliver Perez","Mariners","12.57","4.42","2.85","1.02","32.3%","11.4%","21.0%",".248","1.43",".361","78.7%","97","84","85","3.74","3.26","0.48","3.36","2.75","1514"
"James Paxton","Mariners","7.88","2.63","3.00","0.75","22.3%","7.5%","14.9%",".172","0.92",".203","88.5%","39","84","78","1.50","3.26","-1.76","3.08","3.17","11828"
"Cole Hamels","Phillies","8.26","2.05","4.04","0.86","22.3%","5.5%","16.8%",".242","1.16",".295","72.5%","96","85","91","3.60","3.26","0.34","3.44","3.41","4972"
"Doug Fister","Tigers","6.86","1.90","3.61","0.60","18.1%","5.0%","13.1%",".279","1.31",".332","73.5%","91","82","86","3.67","3.26","0.41","3.42","3.42","9425"
"Fernando Abad","Nationals","7.65","2.39","3.20","0.72","19.3%","6.0%","13.3%",".271","1.38",".325","79.9%","89","87","105","3.35","3.26","0.08","3.97","3.50","4994"
"Neftali Feliz","Rangers","7.71","3.86","2.00","0.00","19.1%","9.5%","9.5%",".278","1.50",".357","100.0%","0","80","134","0.00","3.26","-3.26","5.31","4.29","18"
"Yu Darvish","Rangers","11.89","3.43","3.46","1.12","32.9%","9.5%","23.4%",".193","1.07",".264","83.9%","67","80","72","2.83","3.28","-0.44","2.84","2.76","13074"
"Justin Verlander","Tigers","8.95","3.09","2.89","0.78","23.5%","8.1%","15.4%",".251","1.31",".316","74.5%","86","82","92","3.46","3.28","0.19","3.67","3.61","8700"
"Anthony Swarzak","Twins","6.47","2.06","3.14","0.66","17.8%","5.7%","12.1%",".245","1.16",".285","77.3%","72","83","96","2.91","3.28","-0.37","3.81","3.54","7466"
"Luis Avilan","Braves","5.26","3.05","1.73","0.14","14.8%","8.6%","6.3%",".174","0.95",".204","83.6%","41","89","107","1.52","3.28","-1.76","4.02","3.77","2882"
"Lance Lynn","Cardinals","8.84","3.39","2.61","0.62","23.1%","8.9%","14.3%",".246","1.31",".314","71.8%","108","88","97","3.97","3.28","0.69","3.66","3.68","2520"
"Corey Kluber","Indians","8.31","2.02","4.12","0.92","22.4%","5.4%","16.9%",".268","1.26",".329","72.9%","97","83","78","3.85","3.30","0.55","3.10","3.25","2429"
"Vin Mazzaro","Pirates","5.62","2.57","2.19","0.37","15.1%","6.9%","8.2%",".243","1.21",".281","78.6%","78","90","106","2.81","3.31","-0.50","4.00","3.76","5231"
"Homer Bailey","Reds","8.57","2.33","3.69","0.86","23.4%","6.4%","17.1%",".231","1.12",".284","73.7%","91","85","89","3.49","3.31","0.18","3.34","3.32","8362"
"Aaron Loup","Blue Jays","6.88","1.69","4.08","0.65","18.8%","4.6%","14.2%",".252","1.14",".299","79.8%","61","83","84","2.47","3.32","-0.86","3.31","2.74","10343"
"Chad Qualls","Marlins","7.11","2.76","2.58","0.58","19.4%","7.5%","11.9%",".247","1.23",".298","82.9%","71","91","86","2.61","3.32","-0.71","3.25","2.90","2170"
"Chad Gaudin","Giants","8.16","3.71","2.20","0.56","21.7%","9.9%","11.8%",".223","1.25",".278","77.7%","89","94","106","3.06","3.34","-0.27","4.00","3.92","1783"
"Ricky Nolasco","- - -","7.45","2.08","3.59","0.77","19.8%","5.5%","14.3%",".251","1.21",".299","70.9%","102","91","95","3.70","3.34","0.36","3.58","3.65","3830"
"Justin Masterson","Indians","9.09","3.54","2.57","0.61","24.3%","9.5%","14.8%",".220","1.20",".285","75.4%","87","85","84","3.45","3.35","0.10","3.33","3.32","2038"
"Andrew Cashner","Padres","6.58","2.42","2.72","0.62","18.1%","6.7%","11.5%",".230","1.13",".269","72.4%","87","91","96","3.09","3.35","-0.26","3.62","3.73","8782"
"Jordan Zimmermann","Nationals","6.79","1.69","4.03","0.80","18.6%","4.6%","14.0%",".235","1.09",".271","74.4%","86","90","92","3.25","3.36","-0.11","3.48","3.60","4505"
"Rex Brothers","Rockies","10.16","4.81","2.11","0.67","27.1%","12.8%","14.2%",".208","1.29",".280","88.8%","40","83","93","1.74","3.36","-1.62","3.49","3.37","9794"
"Alex Cobb","Rays","8.41","2.83","2.98","0.82","23.2%","7.8%","15.4%",".226","1.15",".279","81.4%","72","87","76","2.76","3.36","-0.60","3.02","3.18","6562"
"Mike Minor","Braves","7.96","2.02","3.93","0.97","22.1%","5.6%","16.5%",".229","1.09",".272","75.1%","87","92","97","3.21","3.37","-0.16","3.64","3.56","10021"
"Marc Rzepczynski","- - -","8.51","2.93","2.90","0.59","22.5%","7.8%","14.7%",".235","1.21",".298","73.3%","87","87","91","3.23","3.37","-0.15","3.55","3.00","6612"
"Jason Frasor","Rangers","8.82","3.67","2.40","0.73","24.0%","10.0%","14.0%",".200","1.14",".250","81.4%","61","83","91","2.57","3.37","-0.80","3.62","3.36","1906"
"Joe Thatcher","- - -","8.24","2.29","3.60","0.92","22.0%","6.1%","15.9%",".261","1.27",".319","81.5%","86","91","94","3.20","3.38","-0.17","3.55","3.20","4620"
"Kevin Jepsen","Angels","9.00","3.50","2.57","0.75","22.0%","8.5%","13.4%",".275","1.53",".345","67.6%","119","88","99","4.50","3.38","1.12","3.93","3.46","6475"
"Caleb Thielbar","Twins","7.63","2.74","2.79","0.78","22.8%","8.2%","14.6%",".153","0.83",".175","83.3%","44","86","104","1.76","3.40","-1.63","4.14","3.64","10078"
"Scott Rice","Mets","7.24","4.76","1.52","0.18","19.3%","12.7%","6.6%",".228","1.35",".289","70.4%","104","90","101","3.71","3.40","0.31","3.82","3.80","2743"
"Brad Ziegler","Diamondbacks","5.42","2.71","2.00","0.37","14.8%","7.4%","7.4%",".224","1.14",".258","80.7%","57","90","88","2.22","3.40","-1.18","3.32","2.70","7293"
"Tim Collins","Royals","8.78","4.73","1.86","0.51","22.3%","12.0%","10.3%",".239","1.44",".307","70.1%","88","87","108","3.54","3.40","0.14","4.29","3.90","3164"
"Gio Gonzalez","Nationals","8.83","3.50","2.53","0.78","23.4%","9.3%","14.2%",".228","1.25",".286","75.3%","89","91","93","3.36","3.41","-0.05","3.51","3.68","7448"
"Justin Wilson","Pirates","7.21","3.42","2.11","0.49","20.0%","9.5%","10.5%",".189","1.06",".229","84.9%","58","93","101","2.08","3.41","-1.34","3.82","3.57","4301"
"Jake McGee","Rays","10.77","3.16","3.41","1.15","28.9%","8.5%","20.4%",".219","1.18",".286","73.7%","104","88","78","4.02","3.41","0.61","3.11","2.67","7550"
"Ubaldo Jimenez","Indians","9.56","3.94","2.43","0.79","25.0%","10.3%","14.7%",".235","1.33",".304","76.5%","83","87","91","3.30","3.43","-0.12","3.62","3.67","3374"
"Patrick Corbin","Diamondbacks","7.69","2.33","3.30","0.82","20.7%","6.3%","14.4%",".237","1.17",".283","75.9%","88","91","92","3.41","3.43","-0.02","3.48","3.56","9323"
"Brandon Workman","Red Sox","10.15","3.24","3.13","1.08","26.1%","8.3%","17.8%",".267","1.42",".345","69.2%","119","88","80","4.97","3.43","1.54","3.18","3.11","11428"
"Jeremy Jeffress","Blue Jays","10.45","4.35","2.40","0.87","27.9%","11.6%","16.3%",".211","1.26",".280","100.0%","21","85","62","0.87","3.43","-2.56","2.44","2.38","9490"
"Seth Maness","Cardinals","5.08","1.89","2.69","0.58","14.1%","5.2%","8.8%",".277","1.26",".311","84.5%","63","92","83","2.32","3.43","-1.11","3.13","2.57","12235"
"Derek Holland","Rangers","7.99","2.70","2.95","0.85","21.1%","7.2%","14.0%",".254","1.29",".307","75.1%","81","84","93","3.42","3.44","-0.01","3.68","3.74","4141"
"Hisashi Iwakuma","Mariners","7.58","1.72","4.40","1.02","21.4%","4.9%","16.5%",".218","1.01",".252","81.9%","69","88","83","2.66","3.44","-0.78","3.28","3.33","13048"
"Ryan Mattheus","Nationals","5.60","3.82","1.47","0.25","13.3%","9.0%","4.2%",".344","1.90",".398","62.5%","170","92","107","6.37","3.44","2.92","4.04","3.85","7169"
"Jim Johnson","Orioles","7.17","2.30","3.11","0.64","19.2%","6.2%","13.1%",".271","1.28",".327","78.9%","72","84","85","2.94","3.45","-0.50","3.38","2.93","3656"
"Tim Hudson","Braves","6.51","2.47","2.64","0.69","17.8%","6.7%","11.1%",".242","1.19",".281","68.1%","108","94","95","3.97","3.46","0.52","3.56","3.67","921"
"Vic Black","- - -","7.94","3.18","2.50","0.53","19.7%","7.9%","11.8%",".250","1.35",".308","76.3%","104","92","125","3.71","3.46","0.25","4.70","3.84","9195"
"James Shields","Royals","7.71","2.68","2.88","0.79","20.7%","7.2%","13.5%",".247","1.24",".298","79.5%","78","88","94","3.15","3.47","-0.32","3.72","3.77","7059"
"Jon Rauch","Marlins","8.10","3.78","2.14","0.54","18.8%","8.8%","10.0%",".319","1.80",".393","57.4%","206","95","111","7.56","3.47","4.09","4.16","3.76","1475"
"Jhoulys Chacin","Rockies","5.75","2.78","2.07","0.50","15.4%","7.5%","8.0%",".250","1.26",".288","71.9%","79","85","105","3.47","3.47","0.00","3.97","4.27","2608"
"Anthony Varvaro","Braves","5.28","3.07","1.72","0.37","14.1%","8.2%","5.9%",".243","1.27",".278","76.8%","77","95","111","2.82","3.47","-0.65","4.19","4.14","2385"
"Ivan Nova","Yankees","7.49","2.84","2.64","0.58","19.8%","7.5%","12.3%",".256","1.28",".313","79.8%","77","85","93","3.10","3.47","-0.37","3.68","3.58","1994"
"Josh Collmenter","Diamondbacks","8.32","3.23","2.58","0.78","22.1%","8.6%","13.5%",".226","1.22",".277","77.8%","80","92","108","3.13","3.47","-0.34","4.06","3.57","7312"
"J.J. Hoover","Reds","9.14","3.55","2.58","0.82","24.9%","9.7%","15.2%",".195","1.11",".244","81.1%","75","89","105","2.86","3.47","-0.61","3.97","3.38","9037"
"Kris Medlen","Braves","7.17","2.15","3.34","0.82","19.2%","5.7%","13.4%",".254","1.22",".298","76.9%","84","95","94","3.11","3.48","-0.37","3.55","3.68","9417"
"Matt Albers","Indians","5.00","3.29","1.52","0.29","13.4%","8.8%","4.6%",".239","1.27",".274","71.6%","79","88","96","3.14","3.49","-0.35","3.82","3.54","4300"
"Taylor Jordan","Nationals","5.05","1.92","2.64","0.52","13.2%","5.0%","8.2%",".286","1.35",".322","66.9%","97","94","101","3.66","3.49","0.17","3.80","3.79","10466"
"Grant Balfour","Athletics","10.34","3.88","2.67","1.01","27.5%","10.3%","17.2%",".204","1.20",".263","84.4%","67","90","86","2.59","3.49","-0.91","3.42","3.06","718"
"C.J. Wilson","Angels","7.97","3.60","2.21","0.64","20.6%","9.3%","11.3%",".244","1.34",".300","73.5%","90","92","99","3.39","3.51","-0.12","3.93","4.01","3580"
"Scott Kazmir","Indians","9.23","2.68","3.45","1.08","24.1%","7.0%","17.1%",".260","1.32",".324","73.4%","102","89","85","4.04","3.51","0.53","3.36","3.38","4897"
"Will Smith","Royals","11.61","1.89","6.14","1.62","32.8%","5.3%","27.5%",".195","0.93",".243","67.8%","80","90","63","3.24","3.53","-0.29","2.50","1.98","8048"
"Jose Dominguez","Dodgers","4.32","3.24","1.33","0.00","10.3%","7.7%","2.6%",".314","1.68",".355","80.0%","60","94","142","2.16","3.53","-1.37","5.33","4.88","11571"
"Rick Porcello","Tigers","7.22","2.14","3.38","0.92","19.3%","5.7%","13.6%",".268","1.28",".315","69.8%","107","89","81","4.32","3.53","0.79","3.19","3.31","2717"
"Darin Downs","Tigers","9.42","2.80","3.36","1.02","24.5%","7.3%","17.2%",".261","1.33",".330","66.8%","120","89","89","4.84","3.53","1.31","3.53","2.98","5903"
"Eric Stults","Padres","5.79","1.77","3.28","0.80","15.3%","4.7%","10.6%",".269","1.27",".302","69.6%","110","96","110","3.93","3.53","0.40","4.13","4.21","8011"
"Burke Badenhop","Brewers","6.06","1.73","3.50","0.87","16.5%","4.7%","11.8%",".256","1.19",".289","64.0%","90","90","90","3.47","3.53","-0.06","3.40","3.32","9736"
"Chris Capuano","Dodgers","6.90","2.04","3.38","0.94","17.7%","5.3%","12.5%",".289","1.41",".334","68.9%","119","95","97","4.26","3.55","0.71","3.67","3.80","1701"
"Tim Stauffer","Padres","8.27","2.58","3.20","0.90","22.5%","7.0%","15.5%",".227","1.13",".275","73.8%","105","96","85","3.75","3.55","0.20","3.20","2.96","6432"
"Pedro Strop","- - -","10.36","4.08","2.54","0.78","26.0%","10.2%","15.8%",".203","1.24",".265","67.1%","115","89","85","4.55","3.55","1.00","3.30","3.07","4070"
"Hiroki Kuroda","Yankees","6.71","1.92","3.49","0.89","18.2%","5.2%","13.0%",".246","1.16",".282","75.8%","82","87","91","3.31","3.56","-0.26","3.60","3.72","3283"
"Phillippe Aumont","Phillies","8.84","6.05","1.46","0.00","20.0%","13.7%","6.3%",".304","1.91",".400","72.5%","112","93","119","4.19","3.57","0.62","4.48","4.15","5362"
"Wilton Lopez","Rockies","5.73","2.15","2.67","0.72","15.0%","5.6%","9.4%",".291","1.41",".331","73.0%","93","88","98","4.06","3.57","0.50","3.69","3.59","4227"
"Chris Withrow","Dodgers","11.16","3.38","3.31","1.30","32.1%","9.7%","22.4%",".165","0.95",".205","88.5%","73","95","80","2.60","3.57","-0.97","3.03","2.52","7161"
"Jon Niese","Mets","6.61","3.02","2.19","0.63","16.9%","7.7%","9.2%",".278","1.44",".326","72.5%","104","95","102","3.71","3.58","0.13","3.84","4.01","4424"
"Darren O'Day","Orioles","8.56","2.18","3.93","1.02","23.9%","6.1%","17.8%",".207","1.00",".248","89.2%","53","87","91","2.18","3.58","-1.40","3.59","2.99","3321"
"Jim Henderson","Brewers","11.25","3.60","3.13","1.20","30.4%","9.7%","20.7%",".199","1.13",".261","88.4%","70","91","88","2.70","3.58","-0.88","3.31","2.75","6653"
"Jon Lester","Red Sox","7.47","2.83","2.64","0.80","19.6%","7.4%","12.2%",".252","1.29",".300","73.7%","90","92","98","3.75","3.59","0.17","3.90","3.90","4930"
"Jair Jurrjens","Orioles","7.36","1.23","6.00","1.23","19.4%","3.2%","16.1%",".300","1.36",".348","69.8%","120","87","112","4.91","3.59","1.32","4.43","4.08","5556"
"Nathan Eovaldi","Marlins","6.60","3.39","1.95","0.59","17.3%","8.9%","8.4%",".244","1.32",".286","73.9%","92","98","110","3.39","3.59","-0.21","4.15","4.36","9132"
"Ryan Webb","Marlins","6.05","3.02","2.00","0.56","16.3%","8.1%","8.1%",".231","1.21",".266","75.0%","79","99","101","2.91","3.60","-0.68","3.79","3.63","7474"
"Charlie Morton","Pirates","6.59","2.79","2.36","0.47","17.2%","7.3%","9.9%",".256","1.28",".306","72.8%","91","98","98","3.26","3.60","-0.34","3.69","3.45","4676"
"Craig Breslow","Red Sox","4.98","2.72","1.83","0.45","13.9%","7.6%","6.3%",".226","1.12",".254","81.8%","43","93","110","1.81","3.60","-1.79","4.37","4.23","4363"
"Joe Smith","Indians","7.71","3.29","2.35","0.71","20.9%","8.9%","12.0%",".232","1.22",".282","86.3%","58","91","93","2.29","3.60","-1.32","3.70","3.46","3281"
"Jared Burton","Twins","8.32","3.00","2.77","0.82","21.7%","7.8%","13.9%",".240","1.26",".294","74.1%","95","91","99","3.82","3.61","0.21","3.94","3.40","8346"
"Drew Storen","Nationals","8.46","2.77","3.05","1.02","21.7%","7.1%","14.6%",".263","1.36",".319","67.8%","120","97","99","4.52","3.62","0.91","3.71","3.32","6983"
"Fernando Salas","Cardinals","7.07","1.93","3.67","0.96","18.6%","5.1%","13.6%",".243","1.18",".279","63.8%","123","97","119","4.50","3.62","0.88","4.47","3.76","4971"
"Jose Veras","- - -","8.62","3.16","2.73","0.86","23.6%","8.7%","15.0%",".197","1.07",".241","76.7%","75","90","100","3.02","3.62","-0.61","3.95","3.30","2063"
"Shawn Kelley","Yankees","11.98","3.88","3.09","1.35","31.3%","10.1%","21.2%",".230","1.31",".312","71.4%","108","89","82","4.39","3.63","0.76","3.24","2.68","7773"
"Shaun Marcum","Mets","6.89","2.41","2.86","0.80","18.0%","6.3%","11.7%",".275","1.35",".322","61.9%","148","96","112","5.29","3.64","1.65","4.22","4.08","6204"
"Ronald Belisario","Dodgers","6.49","3.71","1.75","0.40","16.3%","9.3%","7.0%",".270","1.47",".321","70.4%","111","97","102","3.97","3.64","0.33","3.83","3.46","2203"
"Rafael Soriano","Nationals","6.89","2.30","3.00","0.95","18.4%","6.1%","12.3%",".250","1.23",".287","80.3%","83","98","107","3.11","3.65","-0.54","4.05","3.71","1100"
"Brett Oberholtzer","Astros","5.65","1.63","3.46","0.88","15.4%","4.4%","10.9%",".237","1.10",".260","76.9%","69","91","108","2.76","3.65","-0.89","4.27","4.24","3855"
"Francisco Rodriguez","- - -","10.41","2.70","3.86","1.35","28.0%","7.3%","20.7%",".236","1.20",".299","91.1%","67","91","80","2.70","3.65","-0.95","3.04","2.65","1642"
"Sandy Rosario","Giants","5.18","4.32","1.20","0.22","13.3%","11.1%","2.2%",".238","1.39",".274","76.0%","88","103","122","3.02","3.65","-0.62","4.58","4.70","1525"
"Tyler Chatwood","Rockies","5.34","3.31","1.61","0.40","13.9%","8.6%","5.3%",".274","1.43",".314","76.3%","72","90","106","3.15","3.66","-0.51","4.00","4.13","4338"
"Garrett Richards","Angels","6.27","2.73","2.30","0.74","16.3%","7.1%","9.2%",".263","1.34",".301","68.6%","110","96","90","4.16","3.66","0.50","3.58","3.63","9784"
"Ross Detwiler","Nationals","4.92","1.77","2.79","0.63","12.3%","4.4%","7.9%",".310","1.49",".344","71.2%","108","98","113","4.04","3.66","0.37","4.25","4.37","2859"
"Santiago Casilla","Giants","6.84","4.50","1.52","0.36","18.3%","12.0%","6.3%",".215","1.28",".262","82.3%","63","104","113","2.16","3.67","-1.51","4.24","4.11","2873"
"Shelby Miller","Cardinals","8.78","2.96","2.96","1.04","23.4%","7.9%","15.5%",".230","1.21",".280","80.1%","84","99","99","3.06","3.67","-0.61","3.73","3.61","10197"
"Dustin McGowan","Blue Jays","9.12","4.21","2.17","0.70","22.8%","10.5%","12.3%",".190","1.21",".236","72.9%","60","91","106","2.45","3.67","-1.22","4.20","3.58","8600"
"Ryan Pressly","Twins","5.75","3.17","1.81","0.59","15.6%","8.6%","7.0%",".247","1.28",".282","67.0%","96","93","108","3.87","3.67","0.20","4.29","4.17","7005"
"Joel Peralta","Rays","9.34","4.29","2.18","0.88","25.4%","11.7%","13.8%",".183","1.14",".227","70.2%","88","95","107","3.41","3.68","-0.27","4.26","3.69","2332"
"Joakim Soria","Rangers","10.65","5.32","2.00","0.76","27.7%","13.9%","13.9%",".209","1.35",".286","76.2%","90","90","90","3.80","3.68","0.12","3.56","3.42","6941"
"Luis Ayala","- - -","6.00","3.55","1.69","0.55","15.4%","9.1%","6.3%",".292","1.55",".340","80.9%","87","99","100","3.27","3.68","-0.41","3.77","3.61","1650"
"Tommy Hunter","Orioles","7.09","1.46","4.86","1.15","20.2%","4.2%","16.1%",".222","0.98",".249","82.4%","69","90","92","2.81","3.68","-0.87","3.63","3.20","1157"
"Tom Wilhelmsen","Mariners","6.86","5.03","1.36","0.31","17.9%","13.2%","4.8%",".207","1.32",".253","66.9%","107","95","115","4.12","3.69","0.43","4.57","4.51","9975"
"Julio Teheran","Braves","8.24","2.18","3.78","1.07","22.0%","5.8%","16.2%",".242","1.17",".288","80.9%","87","101","100","3.20","3.69","-0.49","3.76","3.55","6797"
"Kelvin Herrera","Royals","11.42","3.24","3.52","1.39","30.2%","8.6%","21.6%",".216","1.18",".281","75.3%","96","94","72","3.86","3.70","0.16","2.86","2.50","6033"
"Andy Pettitte","Yankees","6.22","2.33","2.67","0.83","16.3%","6.1%","10.2%",".270","1.33",".308","72.9%","92","90","98","3.74","3.70","0.04","3.88","4.06","840"
"Cesar Ramos","Rays","7.08","2.94","2.41","0.80","18.4%","7.6%","10.8%",".250","1.31",".293","72.3%","108","95","101","4.14","3.70","0.44","4.02","3.74","3357"
"Juan Perez","Blue Jays","9.38","4.26","2.20","0.85","25.2%","11.5%","13.7%",".200","1.20",".253","63.2%","91","92","85","3.69","3.71","-0.02","3.39","3.14","2557"
"Edward Mujica","Cardinals","6.40","0.70","9.20","1.25","18.0%","2.0%","16.1%",".241","1.01",".263","86.1%","76","100","94","2.78","3.71","-0.93","3.53","3.17","3970"
"Jaime Garcia","Cardinals","6.99","2.44","2.87","0.98","18.4%","6.4%","12.0%",".260","1.30",".300","72.3%","98","100","87","3.58","3.72","-0.14","3.27","3.26","8137"
"Ernesto Frieri","Angels","12.84","3.93","3.27","1.44","33.6%","10.3%","23.3%",".212","1.24",".293","81.3%","100","97","88","3.80","3.72","0.08","3.49","2.63","5178"
"Jake Petricka","White Sox","4.66","4.66","1.00","0.00","11.8%","11.8%","0.0%",".270","1.55",".313","77.4%","80","91","112","3.26","3.72","-0.46","4.43","4.23","10534"
"Al Alburquerque","Tigers","12.86","6.24","2.06","0.92","31.8%","15.5%","16.4%",".212","1.49",".312","73.5%","114","93","88","4.59","3.72","0.87","3.48","3.31","6324"
"Tyler Lyons","Cardinals","7.30","2.72","2.69","0.85","19.3%","7.2%","12.1%",".240","1.23",".282","63.9%","130","100","102","4.75","3.73","1.03","3.84","3.79","11334"
"Juan Gutierrez","- - -","7.32","3.25","2.25","0.81","19.1%","8.5%","10.6%",".260","1.37",".309","68.6%","109","96","103","4.23","3.73","0.49","4.09","3.76","3265"
"Tim Lincecum","Giants","8.79","3.46","2.54","0.96","23.0%","9.0%","13.9%",".243","1.32",".300","69.4%","127","106","94","4.37","3.74","0.64","3.56","3.68","5705"
"Tanner Scheppers","Rangers","6.93","2.82","2.46","0.70","19.5%","8.0%","11.6%",".214","1.07",".252","84.4%","44","92","98","1.88","3.74","-1.86","3.88","3.47","10267"
"Lucas Luetge","Mariners","6.57","3.89","1.69","0.49","16.4%","9.7%","6.7%",".286","1.57",".339","66.4%","127","96","105","4.86","3.75","1.11","4.16","3.99","8337"
"Brandon McCarthy","Diamondbacks","5.07","1.40","3.62","0.87","13.2%","3.6%","9.5%",".292","1.35",".320","68.7%","116","99","100","4.53","3.75","0.78","3.77","4.01","4662"
"Scott Atchison","Mets","5.56","2.38","2.33","0.79","14.4%","6.2%","8.3%",".247","1.26",".273","58.4%","123","99","107","4.37","3.75","0.61","4.02","3.88","2642"
"Jorge De La Rosa","Rockies","6.01","3.33","1.81","0.59","15.7%","8.7%","7.0%",".263","1.38",".303","75.4%","79","93","108","3.49","3.76","-0.27","4.08","4.37","2047"
"Jeff Samardzija","Cubs","9.01","3.29","2.74","1.05","23.4%","8.5%","14.9%",".254","1.35",".314","71.7%","116","100","92","4.34","3.77","0.57","3.45","3.53","3254"
"Felix Doubront","Red Sox","7.71","3.94","1.96","0.72","19.7%","10.1%","9.7%",".256","1.43",".310","69.9%","103","97","104","4.32","3.78","0.54","4.14","4.19","1478"
"Tony Cingrani","Reds","10.32","3.70","2.79","1.20","28.6%","10.2%","18.3%",".192","1.10",".241","82.1%","77","97","93","2.92","3.78","-0.86","3.49","3.31","12555"
"Dale Thayer","Padres","8.86","3.05","2.91","1.11","23.7%","8.2%","15.6%",".240","1.25",".293","80.8%","93","103","94","3.32","3.79","-0.46","3.55","3.19","5032"
"Edwin Jackson","Cubs","6.93","3.03","2.29","0.82","17.4%","7.6%","9.8%",".276","1.46",".322","63.3%","133","100","102","4.98","3.79","1.19","3.86","3.97","1841"
"Steven Wright","Red Sox","6.75","6.08","1.11","0.00","17.0%","15.3%","1.7%",".245","1.58",".308","63.6%","129","98","132","5.40","3.80","1.60","5.23","5.04","8185"
"Duane Below","Marlins","6.75","6.75","1.00","0.00","13.3%","13.3%","0.0%",".462","3.00",".545","62.5%","275","104","156","10.13","3.80","6.33","5.85","5.21","3124"
"Johnny Cueto","Reds","7.57","2.67","2.83","1.04","21.1%","7.4%","13.6%",".206","1.05",".236","81.5%","74","98","86","2.82","3.81","-0.99","3.23","3.48","6893"
"Kevin Slowey","Marlins","7.43","1.76","4.22","1.17","19.2%","4.6%","14.7%",".284","1.35",".330","75.5%","112","104","107","4.11","3.81","0.30","4.01","3.85","9918"
"David Phelps","Yankees","8.20","3.63","2.26","0.83","21.0%","9.3%","11.7%",".262","1.42",".321","66.8%","123","93","102","4.98","3.81","1.18","4.03","3.91","6316"
"Boone Logan","Yankees","11.54","3.00","3.85","1.62","31.5%","8.2%","23.3%",".226","1.18",".292","85.6%","80","93","69","3.23","3.82","-0.59","2.71","2.36","5525"
"Jose Quintana","White Sox","7.38","2.52","2.93","1.04","19.7%","6.7%","13.0%",".244","1.22",".283","76.6%","86","93","97","3.51","3.82","-0.31","3.86","3.85","11423"
"Jered Weaver","Angels","6.82","2.16","3.16","0.99","18.5%","5.8%","12.6%",".236","1.14",".268","78.5%","86","100","109","3.27","3.82","-0.55","4.31","4.14","4235"
"Matt Guerrier","- - -","6.33","3.59","1.76","0.63","16.6%","9.4%","7.2%",".264","1.41",".308","68.7%","111","102","118","4.01","3.82","0.19","4.44","4.19","2061"
"Tyler Clippard","Nationals","9.25","3.04","3.04","1.14","26.6%","8.7%","17.8%",".150","0.86",".170","87.8%","64","103","107","2.41","3.82","-1.41","4.02","3.21","5640"
"Luke Putkonen","Tigers","8.49","2.73","3.11","1.21","22.1%","7.1%","15.0%",".254","1.31",".302","83.8%","75","96","87","3.03","3.82","-0.79","3.45","3.05","6736"
